field_season	date_collected	species	plot	sex	weight	scale_calibrated
2013	2013-07-16	dm	2	F	NULL	yes
2013	2013-07-16	dm	7	M	33	yes
2013	2013-07-16	dm	3	M	NULL	yes
2013	2013-07-16	dm	1	M	NULL	yes
2013	2013-07-18	dm	3	M	40	yes
2013	2013-07-18	dm	7	M	48	yes
2013	2013-07-18	dm	4	F	29	yes
2013	2013-07-18	dm	6	F	37	yes
2013	2013-08-19	do	8	F	52	yes
2013	2013-10-17	do	3	F	33	yes
2013	2013-10-17	do	3	F	50	yes
2013	2013-12-10	do	9	F	40	yes
2013	2013-12-10	do	1	M	45	yes
2013	2013-12-11	do	8	F	41	yes
2013	2013-11-12	ds	9	F	117	yes
2013	2013-11-13	ds	11	F	126	yes
2013	2013-11-13	ds	17	M	132	no
2013	2013-11-13	ds	14	F	113	no
2013	2013-11-13	ds	11	F	122	yes
2013	2013-11-13	ds	4	F	107	yes
2013	2013-11-13	ds	4	F	115	yes
2014	2014-01-09	dm	1	M	40	yes
2014	2014-01-09	dm	1	F	36	yes
2014	2014-03-13	dm	1	F	51	yes
2014	2014-03-13	dm	1	F	44	yes
2014	2014-03-13	ds	1	F	146	yes
2014	2014-01-08	na	2	NULL	NULL	yes
2014	2014-01-08	dm	2	M	44	yes
2014	2014-01-08	pf	2	F	7	yes
2014	2014-01-08	dm	2	M	45	yes
2014	2014-01-08	ot	2	NULL	NULL	yes
2014	2014-01-08	ds	2	M	157	no
2014	2014-01-08	ox	2	NULL	NULL	yes
2014	2014-02-18	na	2	M	218	no
2014	2014-02-18	pf	2	F	7	yes
2014	2014-02-18	dm	2	M	52	yes
2014	2014-03-11	pf	3	M	8	yes
2014	2014-04-08	na	3	F	NULL	yes
2014	2014-05-06	NULL	3	NULL	NULL	yes
2014	2014-05-18	na	3	F	182	yes
2014	2014-06-09	ot	3	F	29	yes
2014	2014-07-08	na	3	F	115	yes
2014	2014-07-08	na	3	M	190	yes
2014	2014-01-08	dm	4	F	37	yes
2014	2014-01-08	dm	4	M	NULL	yes
2014	2014-01-08	dm	4	F	48	yes
2014	2014-01-08	do	4	M	52	yes
2014	2014-01-08	ol	4	M	35	yes
